Z    Eionisation (eV)    EKalpha1 (eV)    EKalpha2 (eV)    IKalpha2/IKalpha1    EKbeta (eV)    IKbeta/IKalpha    
1          13.6                0.              0.                0.                  0.             0.
2          24.6                0.              0.                0.                  0.             0.
3          54.7               54.3            54.3               0.5                 0.             0.
4         111.5              108.5           108.5               0.51                0.             0. 
5         188                183.3           183.3               0.51                0.             0. 
6         284.2              277             277                 0.47                0.             0.
7         409.9              392.4           392.4               0.5                 0.             0.
8         543.1              524.9           524.9               0.51                0.             0.
9         696.7              676.8           676.8               0.48                0.             0.
10        870.2              848.6           848.6               0.5                 0.             0.
11       1070.8             1040.98         1040.98              0.5              1071.1            0.005                            
12       1303.0             1253.60         1253.60              0.5              1302.2            0.01
13       1559.6             1486.70         1486.27              0.5              1557.45           0.02
14       1839               1739.98         1739.38              0.5              1835.94           0.03
15       2145.5             2013.7          2012.7               0.5              2139.1            0.04
16       2472               2307.84         2306.64              0.5              2464.04           0.05
17       2822.4             2622.39         2620.78              0.5              2815.6            0.06
18       3205.9             2957.70         2955.63              0.5              3190.5            0.07
19       3608.4             3313.8          3311.1               0.5              3589.6            0.08
20       4038.5             3691.68         3688.09              0.5              4012.7            0.09
21       4492               4090.6          4086.6               0.5              4460.5            0.10
22       4966               4510.84         4504.86              0.5              4931.81           0.11    
23       5465               4952.20         4944.64              0.5              5427.29           0.11
24       5989               5414.72         5405.509             0.5              5946.71           0.11
25       6539               5898.75         5887.65              0.5              6490.45           0.11
26       7112               6403.84         6390.84              0.5              7057.98           0.12
27       7709               6930.32         6915.30              0.51             7649.43           0.12
28       8333               7478.15         7460.89              0.51             8264.66           0.12
29       8979               8047.78         8027.83              0.51             8905.29           0.12 
30       9659               8638.86         8615.78              0.51             9572.0            0.12   
31      10367               9251.74         9224.82              0.51            10264.2            0.13
32      11103               9886.42         9855.32              0.51            10982.1            0.13
33      11867              10543.72        10507.99              0.51            11726.2            0.14
34      12658              11222.4         11181.4               0.52            12495.9            0.14
35      13474              11924.2         11877.6               0.52            13291.4            0.14
36      14326              12649           12598                 0.52            14112              0.15
37      15200              13395.3         13335.8               0.52            14961.3            0.16
38      16105              14165           14097.9               0.52            15835.7            0.16
39      17038              14958.4         14882.9               0.52            16737.8            0.17 
40      17998              15775.1         15690.9               0.52            17667.8            0.17
41      18986              16615.1         16521.0               0.52            18622.5            0.18
42      20000              17479.34        17374.3               0.52            19608.3            0.18
43      21044              18367.1         18250.8               0.53            20619              0.18
44      22117              19279.2         19150.4               0.53            21656.8            0.19
45      23220              20216.1         20073.7               0.53            22723.6            0.19
46      24350              21177.1         21020.1               0.53            23818.7            0.19
47      25514              22162.92        21990.3               0.53            24942.4            0.10                  
48      26711              23173.6         22984.1               0.53            26095.5            0.20 
49      27940              24209.7         24002.0               0.53            27275.9            0.20
50      29200              25271.3         25044.0               0.53            28486.0            0.21
51      30491              26359.1         26110.8               0.54            29725.6            0.21 
52      31814              27472.3         27201.7               0.54            30995.7            0.21
53      33169              28612.0         28317.2               0.54            32294.7            0.22
54      34561              29779           29458                 0.54            33624              0.22
55      35985              30972.8         30625.1               0.54            34986.9            0.22
56      37441              32193.6         31817.1               0.54            36378.2            0.23
57      38925              33441.8         33034.1               0.54            37801.0            0.23
58      40443              34719.7         34278.9               0.55            39257.3            0.23
59      41991              36026.3         35550.2               0.55            40748.2            0.23
60      43569              37361.0         36847.4               0.55            42271.3            0.23
61      45184              38724.7         38171.8               0.55            43826              0.24
62      46834              40118.1         39522.4               0.55            45413              0.24
63      48519              41542.2         40901.9               0.56            47037.9            0.24
64      50239              42996.2         42308.9               0.56            48697              0.24 
65      51996              44481.6         43744.1               0.56            50382              0.24
66      53789              45998.4         45207.8               0.56            52119              0.25 
67      55618              47546.7         46699.7               0.56            53877              0.25
68      57486              49127.7         48221.1               0.56            55681              0.25
69      59390              50741.6         49772.6               0.57            57517              0.21
70      61332              52388.9         51354.0               0.57            59370              0.21
71      63314              54069.8         52965.0               0.57            61283              0.21
72      65351              55790.2         54611.4               0.57            63234              0.22
73      67416              57532           56277                 0.57            65223              0.22  
74      69525              59318.2         57981.7               0.58            67244.3            0.22
75      71676              61140.3         59717.9               0.58            69310              0.22
76      73871              63000.5         61486.7               0.58            71413              0.23
77      76111              64895.6         63286.7               0.58            73560.8            0.23
78      78395              66832           65112                 0.58            75748              0.23
79      80725              68803.7         66989.5               0.58            77984              0.23
